Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission
TXBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
UBQBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
UNBBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
VIABTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
VIBBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
VRCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
VTCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
WAVESBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
WINGSBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
XELBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
XEMBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
XLMBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
XMRBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
XRPBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
XVGBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
XZCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ZECBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ZENBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
