Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
GILD,50,0.01,0,0,0.01,0.01,0,10,1,0,GILD-CFD-SMART-USD
GLW,50,0.01,0,0,0.01,0.01,0,10,1,0,GLW-CFD-SMART-USD
GM,50,0.01,0,0,0.01,0.01,0,10,1,0,GM-CFD-SMART-USD
GOOG,50,0.01,0,0,0.01,0.01,0,10,1,0,GOOG-CFD-SMART-USD
GOOGL,50,0.01,0,0,0.01,0.01,0,10,1,0,GOOGL-CFD-SMART-USD
GS,50,0.01,0,0,0.01,0.01,0,10,1,0,GS-CFD-SMART-USD
HAL,50,0.01,0,0,0.01,0.01,0,10,1,0,HAL-CFD-SMART-USD
HD,50,0.01,0,0,0.01,0.01,0,10,1,0,HD-CFD-SMART-USD
HES,50,0.01,0,0,0.01,0.01,0,10,1,0,HES-CFD-SMART-USD
HON,50,0.01,0,0,0.01,0.01,0,10,1,0,HON-CFD-SMART-USD
HPQ,50,0.01,0,0,0.01,0.01,0,10,1,0,HPQ-CFD-SMART-USD
IBM,50,0.01,0,0,0.01,0.01,0,10,1,0,IBM-CFD-SMART-USD
ILMN,50,0.01,0,0,0.01,0.01,0,10,1,0,ILMN-CFD-SMART-USD
INTC,50,0.01,0,0,0.01,0.01,0,10,1,0,INTC-CFD-SMART-USD
ISRG,50,0.01,0,0,0.01,0.01,0,10,1,0,ISRG-CFD-SMART-USD
ITUB,50,0.01,0,0,0.01,0.01,0,10,1,0,ITUB-CFD-SMART-USD
ITW,50,0.01,0,0,0.01,0.01,0,10,1,0,ITW-CFD-SMART-USD
JCI,50,0.01,0,0,0.01,0.01,0,10,1,0,JCI-CFD-SMART-USD
JCP,50,0.01,0,0,0.01,0.01,0,10,1,0,JCP-CFD-SMART-USD
JNJ,50,0.01,0,0,0.01,0.01,0,10,1,0,JNJ-CFD-SMART-USD
JNPR,50,0.01,0,0,0.01,0.01,0,10,1,0,JNPR-CFD-SMART-USD
JPM,50,0.01,0,0,0.01,0.01,0,10,1,0,JPM-CFD-SMART-USD
KMB,50,0.01,0,0,0.01,0.01,0,10,1,0,KMB-CFD-SMART-USD
KO,50,0.01,0,0,0.01,0.01,0,10,1,0,KO-CFD-SMART-USD
KSS,50,0.01,0,0,0.01,0.01,0,10,1,0,KSS-CFD-SMART-USD
LLY,50,0.01,0,0,0.01,0.01,0,10,1,0,LLY-CFD-SMART-USD
LMT,50,0.01,0,0,0.01,0.01,0,10,1,0,LMT-CFD-SMART-USD
LOW,50,0.01,0,0,0.01,0.01,0,10,1,0,LOW-CFD-SMART-USD
LULU,50,0.01,0,0,0.01,0.01,0,10,1,0,LULU-CFD-SMART-USD
LVS,50,0.01,0,0,0.01,0.01,0,10,1,0,LVS-CFD-SMART-USD
LYB,50,0.01,0,0,0.01,0.01,0,10,1,0,LYB-CFD-SMART-USD
M,50,0.01,0,0,0.01,0.01,0,10,1,0,M-CFD-SMART-USD
MA,50,0.01,0,0,0.01,0.01,0,10,1,0,MA-CFD-SMART-USD
MCD,50,0.01,0,0,0.01,0.01,0,10,1,0,MCD-CFD-SMART-USD
MDT,50,0.01,0,0,0.01,0.01,0,10,1,0,MDT-CFD-SMART-USD
MET,50,0.01,0,0,0.01,0.01,0,10,1,0,MET-CFD-SMART-USD
MGM,50,0.01,0,0,0.01,0.01,0,10,1,0,MGM-CFD-SMART-USD
MJN,50,0.01,0,0,0.01,0.01,0,10,1,0,MJN-CFD-SMART-USD
MMM,50,0.01,0,0,0.01,0.01,0,10,1,0,MMM-CFD-SMART-USD
MO,50,0.01,0,0,0.01,0.01,0,10,1,0,MO-CFD-SMART-USD
MON,50,0.01,0,0,0.01,0.01,0,10,1,0,MON-CFD-SMART-USD
MOS,50,0.01,0,0,0.01,0.01,0,10,1,0,MOS-CFD-SMART-USD
MRK,50,0.01,0,0,0.01,0.01,0,10,1,0,MRK-CFD-SMART-USD
MRO,50,0.01,0,0,0.01,0.01,0,10,1,0,MRO-CFD-SMART-USD
MRVL,50,0.01,0,0,0.01,0.01,0,10,1,0,MRVL-CFD-SMART-USD
MS,50,0.01,0,0,0.01,0.01,0,10,1,0,MS-CFD-SMART-USD
MSFT,50,0.01,0,0,0.01,0.01,0,10,1,0,MSFT-CFD-SMART-USD
MU,50,0.01,0,0,0.01,0.01,0,10,1,0,MU-CFD-SMART-USD
NEM,50,0.01,0,0,0.01,0.01,0,10,1,0,NEM-CFD-SMART-USD
NFLX,50,0.01,0,0,0.01,0.01,0,10,1,0,NFLX-CFD-SMART-USD
NKE,50,0.01,0,0,0.01,0.01,0,10,1,0,NKE-CFD-SMART-USD
NLY,50,0.01,0,0,0.01,0.01,0,10,1,0,NLY-CFD-SMART-USD
NOV,50,0.01,0,0,0.01,0.01,0,10,1,0,NOV-CFD-SMART-USD
NSC,50,0.01,0,0,0.01,0.01,0,10,1,0,NSC-CFD-SMART-USD
NTAP,50,0.01,0,0,0.01,0.01,0,10,1,0,NTAP-CFD-SMART-USD
NVDA,50,0.01,0,0,0.01,0.01,0,10,1,0,NVDA-CFD-SMART-USD
NWSA,50,0.01,0,0,0.01,0.01,0,10,1,0,NWSA-CFD-SMART-USD
ORCL,50,0.01,0,0,0.01,0.01,0,10,1,0,ORCL-CFD-SMART-USD
OXY,50,0.01,0,0,0.01,0.01,0,10,1,0,OXY-CFD-SMART-USD
PBR,50,0.01,0,0,0.01,0.01,0,10,1,0,PBR-CFD-SMART-USD
PCLN,50,0.01,0,0,0.01,0.01,0,10,1,0,PCLN-CFD-SMART-USD
PEP,50,0.01,0,0,0.01,0.01,0,10,1,0,PEP-CFD-SMART-USD
