Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
FISV,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FISV
FOSL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FOSL
FOX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FOX
FOXA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FOXA
FWONA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FWONA
GD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GD
GE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GE
GILD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GILD
GM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GM
GOLD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GOLD
GOOG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GOOG
GOOGL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GOOGL
GRMN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GRMN
GS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GS
HAL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HAL
HD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HD
HIG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HIG
HON,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HON
HPE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HPE
HPQ,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HPQ
HSIC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HSIC
IBM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,IBM
ILMN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ILMN
INTC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,INTC
INTU,50,0.1,0,0,0.01,0.01,0,2,1,0.01,INTU
IP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,IP
ISRG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ISRG
JCI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,JCI
JNJ,50,0.1,0,0,0.01,0.01,0,2,1,0.01,JNJ
JPM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,JPM
KHC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,KHC
KLAC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,KLAC
KMI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,KMI
KO,50,0.1,0,0,0.01,0.01,0,2,1,0.01,KO
LB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,LB
LBTYA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,LBTYA
LBTYK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,LBTYK
LLY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,LLY
LMT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,LMT
LOW,50,0.1,0,0,0.01,0.01,0,2,1,0.01,LOW
LRCX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,LRCX
LVNTA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,LVNTA
MA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MA
MAR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MAR
MAT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MAT
MCD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MCD
MCHP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MCHP
MDLZ,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MDLZ
MDT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MDT
MET,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MET
MMM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MMM
MNST,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MNST
MO,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MO
MON,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MON
MRK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MRK
MS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MS
MSFT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MSFT
MU,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MU
MXIM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MXIM
MYL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,MYL
NEE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,NEE
NFLX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,NFLX
NKE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,NKE
NOV,50,0.1,0,0,0.01,0.01,0,2,1,0.01,NOV
NSC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,NSC
NTAP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,NTAP
NUAN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,NUAN
NVDA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,NVDA
NWSA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,NWSA
NXPI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,NXPI
ORCL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ORCL
ORLY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ORLY
OXY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,OXY
PAYX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,PAYX
PCAR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,PCAR
PCLN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,PCLN
PEP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,PEP
PFE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,PFE
PG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,PG
PM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,PM
PSX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,PSX
PYPL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,PYPL
QCOM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,QCOM
QVCA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,QVCA
REGN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,REGN
RF,50,0.1,0,0,0.01,0.01,0,2,1,0.01,RF
ROK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ROK
ROST,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ROST
RTN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,RTN
S,50,0.1,0,0,0.01,0.01,0,2,1,0.01,S
SBAC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,SBAC
SBUX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,SBUX
SHLD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,SHLD
SIRI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,SIRI
SLB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,SLB
SO,50,0.1,0,0,0.01,0.01,0,2,1,0.01,SO
SPG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,SPG
SPLS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,SPLS
SRCL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,SRCL
STX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,STX
SYMC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,SYMC
T,50,0.1,0,0,0.01,0.01,0,2,1,0.01,T
TGT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,TGT
TIME,50,0.1,0,0,0.01,0.01,0,2,1,0.01,TIME
TRIP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,TRIP
TSCO,50,0.1,0,0,0.01,0.01,0,2,1,0.01,TSCO
TSLA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,TSLA
TWX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,TWX
TXN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,TXN
UNH,50,0.1,0,0,0.01,0.01,0,2,1,0.01,UNH
UNP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,UNP
UPS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,UPS
USB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,USB
USD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,USD
UTX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,UTX
V,50,0.1,0,0,0.01,0.01,0,2,1,0.01,V
VEON,50,0.1,0,0,0.01,0.01,0,2,1,0.01,VEON
VIAB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,VIAB
VOD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,VOD
VRSK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,VRSK
VRTX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,VRTX
VZ,50,0.1,0,0,0.01,0.01,0,2,1,0.01,VZ
WBA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,WBA
WDC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,WDC
WFC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,WFC
WFM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,WFM
WMB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,WMB
WMT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,WMT
WPG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,WPG
WY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,WY
WYNN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,WYNN
XLNX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,XLNX
XOM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,XOM
XRAY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,XRAY
XRX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,XRX
YHOO,50,0.1,0,0,0.01,0.01,0,2,1,0.01,YHOO
AABA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AABA
FWONK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FWONK
DWDP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,DWDP
CSC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CSC
LLTC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,LLTC
LMCA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,LMCA
VIP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,VIP
EMC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,EMC
TYC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,TYC
SNDK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,SNDK
BRCM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,BRCM
GMCR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GMCR
ALTR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ALTR
CMCSK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CMCSK
SIAL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,SIAL
ACT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ACT
CTRX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CTRX
DTV,50,0.1,0,0,0.01,0.01,0,2,1,0.01,DTV
KRFT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,KRFT
COV,50,0.1,0,0,0.01,0.01,0,2,1,0.01,COV
HSH,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HSH
LINTA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,LINTA
WAG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,WAG
LMCK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,LMCK
DELL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,DELL
EKDKQ,50,0.1,0,0,0.01,0.01,0,2,1,0.01,EKDKQ
LTD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,LTD
NYX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,NYX
HNZ,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HNZ
NWS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,NWS
WPI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,WPI
LMCAD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,LMCAD
